Symbol,Name,URL,yf_symbol,Currency,yf_name
GC,GOLD,https://finance.yahoo.com/quote/GC%3DF,GC=F,USD,Gold Aug 20
SI,SILVER,https://finance.yahoo.com/quote/SI%3DF,SI=F,USD,Silver Jul 20
PL,PLATINUM,https://finance.yahoo.com/quote/PL%3DF,PL=F,USD,Platinum Jul 20
HG,COPPER,https://finance.yahoo.com/quote/HG%3DF,HG=F,USD,Copper Jul 20
PA,PALLADIUM,https://finance.yahoo.com/quote/PA%3DF,PA=F,USD,Palladium Sep 20
CL,CRUDE OIL,https://finance.yahoo.com/quote/CL%3DF,CL=F,USD,Crude Oil Aug 20
NG,NATURAL GAS,https://finance.yahoo.com/quote/NG%3DF,NG=F,USD,Natural Gas Jul 20
C,CORN,https://finance.yahoo.com/quote/C%3DF,C=F,USX,Corn Sep 20
O,OATS,https://finance.yahoo.com/quote/O%3DF,O=F,USX,Oats Sep 20
S,SOYBEANS,https://finance.yahoo.com/quote/S%3DF,S=F,USX,Soybeans Aug 20
CC,COCOA,https://finance.yahoo.com/quote/CC%3DF,CC=F,USD,Cocoa Sep 20
KC,COFFEE,https://finance.yahoo.com/quote/KC%3DF,KC=F,USX,Coffee Sep 20
CT,COTTON,https://finance.yahoo.com/quote/CT%3DF,CT=F,USX,Cotton Oct 20
SB,SUGAR,https://finance.yahoo.com/quote/SB%3DF,SB=F,USX,Sugar #11 Oct 20
