Symbol,Name
SBIN.NS,State Bank of India
AXISBANK.BO,Axis Bank Limited
IOC.BO,Indian Oil Corporation Limited
NMDC.BO,NMDC Limited
KRITIIND.BO,Kriti Industries (India) Limited
TATAPOWER.NS,The Tata Power Company Limited
AUROLAB.BO,Auro Laboratories Limited
RESONANCE.BO,Resonance Specialties Limited
ANDHRAPET.BO,The Andhra Petrochemicals Limited
MANALIPETC.BO,Manali Petrochemicals Limited
GAIL.NS,Gas Authority of India Limited
SAIL.NS,Steel Authority of India Limited
HDFCBANK.BO,HDFC Bank Limited
ONGC.NS,Oil and Natural Gas Corporation Limited
INFY.BO,Infosys Limited
BHAGYAPROP.BO,Bhagyanagar Properties Limited
FEDERALBNK.NS,The Federal Bank Limited
WIPRO.BO,Wipro Limited
IDEA.NS,Vodafone Idea Limited
ALOKTEXT.BO,Alok Industries Limited
BANKBARODA.BO,Bank of Baroda
BHEL.NS,Bharat Heavy Electricals Limited
DISHTV.BO,Dish TV India Limited
VEDL.BO,Vedanta Limited
PTC.NS,PTC India Limited
PRESSMN.NS,Pressman Advertising Limited
ADORFO.BO,Ador Fontech Limited 
